date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:23	32516/32516	---M-Z	200	added ('OK')	font/opentype	etag:W/%2292de581e7e04a0aa5d30f23ea371029d1782d651%22	https://use.typekit.net/af/3875c6/00000000000000003b9b3267/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/3875c6/00000000000000003b9b3267/27/afdcc	(from https://use.typekit.net/vja6aok.css)
23:36:25	17436/17436	---M--	200	added ('OK')	application/font-woff	etag:%22ecd2593ece3a0d8e19e435f4219da9c8c0e07e44%22	https://use.typekit.net/af/f2ebca/00000000000000003b9b326a/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/f2ebca/00000000000000003b9b326a/27/d652f	(from https://use.typekit.net/vja6aok.css)
23:36:25	31096/31096	---M-Z	200	added ('OK')	font/opentype	etag:W/%22ecd2593ece3a0d8e19e435f4219da9c8c0e07e44%22	https://use.typekit.net/af/f2ebca/00000000000000003b9b326a/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/f2ebca/00000000000000003b9b326a/27/a652f	(from https://use.typekit.net/vja6aok.css)
23:36:25	17572/17572	---M--	200	added ('OK')	application/font-woff2	etag:%227104a4e9b40a626ff8ca51470f7b6f904a66ff7d%22	https://use.typekit.net/af/883ea0/00000000000000003b9b326b/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/883ea0/00000000000000003b9b326b/27/le265	(from https://use.typekit.net/vja6aok.css)
23:36:26	18572/18572	---M--	200	added ('OK')	application/font-woff	etag:%227104a4e9b40a626ff8ca51470f7b6f904a66ff7d%22	https://use.typekit.net/af/883ea0/00000000000000003b9b326b/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/883ea0/00000000000000003b9b326b/27/de265	(from https://use.typekit.net/vja6aok.css)
23:36:27	32560/32560	---M-Z	200	added ('OK')	font/opentype	etag:W/%227104a4e9b40a626ff8ca51470f7b6f904a66ff7d%22	https://use.typekit.net/af/883ea0/00000000000000003b9b326b/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/883ea0/00000000000000003b9b326b/27/ae265	(from https://use.typekit.net/vja6aok.css)
23:36:29	272481/272481	---M--	200	added ('OK')	image/jpeg	etag:%225ec2b23a-42861%22	https://jackmcdade.com/img/jack-on-aqua.jpg	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/img/jack-on-aqua.jpg	(from https://jackmcdade.com/interviews)
23:36:31	97717/97717	---M--	200	added ('OK')	image/png	etag:%225ec2b23b-17db5%22	https://jackmcdade.com/img/splat-right.png	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/img/splat-right.png	(from https://jackmcdade.com/articles)
23:36:31	262620/262620	---M--	200	added ('OK')	image/jpeg	etag:%225ec2b23a-401dc%22	https://jackmcdade.com/img/jack-on-yellow.jpg	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/img/jack-on-yellow.jpg	(from https://jackmcdade.com/articles)
23:36:33	130037/130037	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:34%20GMT	https://jackmcdade.com/my-900	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/my-900.html	(from https://jackmcdade.com/articles)
23:36:34	127346/127346	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:35%20GMT	https://jackmcdade.com/take-longer-videos	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/take-longer-videos.html	(from https://jackmcdade.com/articles)
23:36:34	130272/130272	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:35%20GMT	https://jackmcdade.com/struggle-bus	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/struggle-bus.html	(from https://jackmcdade.com/articles)
23:36:35	130724/130724	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:36%20GMT	https://jackmcdade.com/those-florida-gators	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/those-florida-gators.html	(from https://jackmcdade.com/articles)
23:36:36	127076/127076	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:37%20GMT	https://jackmcdade.com/ux-fail	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/ux-fail.html	(from https://jackmcdade.com/articles)
23:36:36	126197/126197	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:38%20GMT	https://jackmcdade.com/_2020-08-29	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/_2020-08-29.html	(from https://jackmcdade.com/articles)
23:36:37	127235/127235	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:38%20GMT	https://jackmcdade.com/writing-struggles	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/writing-struggles.html	(from https://jackmcdade.com/articles)
23:36:38	136828/136828	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:39%20GMT	https://jackmcdade.com/weird	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/weird.html	(from https://jackmcdade.com/articles)
23:36:39	140616/140616	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:40%20GMT	https://jackmcdade.com/doing-it-anyway	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/doing-it-anyway.html	(from https://jackmcdade.com/articles)
23:36:40	135329/135329	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:41%20GMT	https://jackmcdade.com/cliches	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/cliches.html	(from https://jackmcdade.com/articles)
